gauge_id,date,observed,caudal
7330001,2001-03-01,0.0,4.71
9127001,2001-03-01,0.0,4.5
4703002,2001-03-02,0.0,4.77
7330001,2001-03-02,1.0,4.69
9127001,2001-03-02,0.0,4.11
4703002,2001-03-03,0.0,4.71
7330001,2001-03-03,0.0,4.7
9127001,2001-03-03,0.0,4.04
4703002,2001-03-04,0.0,4.7
7330001,2001-03-04,0.0,4.71
9127001,2001-03-04,0.0,4.0
4703002,2001-03-05,11.0,4.67
7330001,2001-03-05,0.0,4.64
9127001,2001-03-05,0.0,3.97
4703002,2001-03-06,0.0,4.65
7330001,2001-03-06,0.0,4.52
9127001,2001-03-06,0.0,3.82
4703002,2001-03-07,0.0,4.59
7330001,2001-03-07,0.0,4.44
9127001,2001-03-07,0.0,3.69
4703002,2001-03-08,0.0,4.56
7330001,2001-03-08,0.0,4.39
9127001,2001-03-08,0.0,3.69
4703002,2001-03-09,0.0,4.55
7330001,2001-03-09,0.0,4.38
9127001,2001-03-09,0.0,3.71
4703002,2001-03-10,0.0,4.57
7330001,2001-03-10,0.0,4.42
9127001,2001-03-10,95.0,8.96
4703002,2001-03-11,0.0,4.5
7330001,2001-03-11,1.0,4.52
9127001,2001-03-11,625.0,8.47
4703002,2001-03-12,0.0,4.49
7330001,2001-03-12,0.0,4.5
9127001,2001-03-12,313.0,6.58
4703002,2001-03-13,0.0,4.49
7330001,2001-03-13,0.0,5.35
9127001,2001-03-13,125.0,7.45
4703002,2001-03-14,0.0,4.48
7330001,2001-03-14,0.0,6.91
9127001,2001-03-14,0.0,6.05
4703002,2001-03-15,0.0,4.48
7330001,2001-03-15,0.0,6.83
9127001,2001-03-15,0.0,5.4
4703002,2001-03-16,0.0,4.46
7330001,2001-03-16,0.0,6.77
9127001,2001-03-16,0.0,4.98
4703002,2001-03-17,0.0,4.51
7330001,2001-03-17,0.0,6.57
9127001,2001-03-17,0.0,4.72
4703002,2001-03-18,0.0,4.5
7330001,2001-03-18,0.0,6.2
9127001,2001-03-18,0.0,4.57
4703002,2001-03-19,1.0,4.51
7330001,2001-03-19,0.0,6.12
9127001,2001-03-19,0.0,4.57
4703002,2001-03-20,0.0,4.53
7330001,2001-03-20,0.0,5.87
9127001,2001-03-20,3.0,4.39
4703002,2001-03-21,4.0,4.66
7330001,2001-03-21,0.0,5.79
9127001,2001-03-21,0.0,4.39
4703002,2001-03-22,5.0,4.77
7330001,2001-03-22,0.0,5.74
9127001,2001-03-22,0.0,4.39
4703002,2001-03-23,20.0,4.75
7330001,2001-03-23,198.0,5.79
9127001,2001-03-23,0.0,4.22
4703002,2001-03-24,0.0,4.61
7330001,2001-03-24,184.0,5.81
9127001,2001-03-24,0.0,4.21
4703002,2001-03-25,1.0,4.55
7330001,2001-03-25,0.0,5.7
9127001,2001-03-25,0.0,4.09
4703002,2001-03-26,0.0,4.48
7330001,2001-03-26,0.0,5.64
9127001,2001-03-26,0.0,4.04
4703002,2001-03-27,2.0,4.48
7330001,2001-03-27,49.0,5.51
9127001,2001-03-27,0.0,4.04
4703002,2001-03-28,0.0,4.46
7330001,2001-03-28,0.0,5.51
9127001,2001-03-28,0.0,4.04
4703002,2001-03-29,0.0,4.43
7330001,2001-03-29,0.0,5.43
9127001,2001-03-29,0.0,4.04
4703002,2001-03-30,0.0,4.39
7330001,2001-03-30,0.0,5.37
9127001,2001-03-30,0.0,4.04
4703002,2001-03-31,0.0,4.46
7330001,2001-03-31,0.0,5.34
9127001,2001-03-31,0.0,3.95
4703002,2001-04-01,1.0,4.38
7330001,2001-04-01,0.0,5.32
9127001,2001-04-01,8.0,3.9
4703002,2001-04-02,1.0,4.37
7330001,2001-04-02,0.0,5.29
9127001,2001-04-02,0.0,3.9
4703002,2001-04-03,2.0,4.36
7330001,2001-04-03,0.0,5.24
9127001,2001-04-03,19.0,3.86
4703002,2001-04-04,1.0,4.38
7330001,2001-04-04,3.0,5.16
9127001,2001-04-04,0.0,3.86
4703002,2001-04-05,10.0,4.39
7330001,2001-04-05,0.0,5.15
9127001,2001-04-05,0.0,3.86
4703002,2001-04-06,6.0,4.39
7330001,2001-04-06,0.0,5.13
9127001,2001-04-06,0.0,3.8
4703002,2001-04-07,40.0,4.35
7330001,2001-04-07,0.0,5.11
9127001,2001-04-07,0.0,3.7
4703002,2001-04-08,17.0,4.27
7330001,2001-04-08,0.0,5.15
9127001,2001-04-08,0.0,3.69
4703002,2001-04-09,0.0,4.23
7330001,2001-04-09,0.0,5.13
9127001,2001-04-09,0.0,3.69
4703002,2001-04-10,0.0,4.19
7330001,2001-04-10,0.0,5.13
9127001,2001-04-10,0.0,3.69
4703002,2001-04-11,0.0,4.19
7330001,2001-04-11,0.0,5.24
9127001,2001-04-11,0.0,3.69
4703002,2001-04-12,0.0,4.16
7330001,2001-04-12,0.0,5.21
9127001,2001-04-12,3.0,3.69
4703002,2001-04-13,0.0,4.26
7330001,2001-04-13,0.0,6.92
9127001,2001-04-13,0.0,3.69
4703002,2001-04-14,40.0,4.4
7330001,2001-04-14,116.0,13.4
9127001,2001-04-14,124.0,3.69
4703002,2001-04-15,0.0,4.25
7330001,2001-04-15,0.0,9.64
9127001,2001-04-15,18.0,3.69
4703002,2001-04-16,0.0,4.19
7330001,2001-04-16,10.0,8.3
9127001,2001-04-16,0.0,3.69
4703002,2001-04-17,0.0,4.18
7330001,2001-04-17,0.0,7.68
9127001,2001-04-17,7.0,3.66
4703002,2001-04-18,0.0,4.19
7330001,2001-04-18,0.0,8.05
9127001,2001-04-18,0.0,3.71
4703002,2001-04-19,0.0,4.19
7330001,2001-04-19,18.0,8.59
9127001,2001-04-19,2.0,3.78
4703002,2001-04-20,0.0,4.15
7330001,2001-04-20,0.0,7.78
9127001,2001-04-20,1.0,3.69
4703002,2001-04-21,0.0,4.14
7330001,2001-04-21,0.0,7.45
9127001,2001-04-21,0.0,3.69
4703002,2001-04-22,1.0,4.25
7330001,2001-04-22,0.0,8.97
9127001,2001-04-22,37.0,5.81
4703002,2001-04-23,31.0,4.17
7330001,2001-04-23,110.0,17.0
9127001,2001-04-23,521.0,7.86
4703002,2001-04-24,4.0,4.27
7330001,2001-04-24,0.0,12.1
9127001,2001-04-24,0.0,5.02
4703002,2001-04-25,0.0,4.37
7330001,2001-04-25,0.0,10.6
9127001,2001-04-25,0.0,4.46
4703002,2001-04-26,0.0,4.33
7330001,2001-04-26,0.0,10.3
9127001,2001-04-26,0.0,4.3
4703002,2001-04-27,0.0,4.24
7330001,2001-04-27,0.0,9.99
9127001,2001-04-27,0.0,4.5
4703002,2001-04-28,0.0,4.23
7330001,2001-04-28,4.0,9.99
9127001,2001-04-28,0.0,5.98
4703002,2001-04-29,0.0,4.11
7330001,2001-04-29,0.0,9.55
9127001,2001-04-29,0.0,4.93
4703002,2001-04-30,0.0,4.05
7330001,2001-04-30,0.0,9.29
9127001,2001-04-30,0.0,4.61
4703002,2001-05-01,0.0,4.2
7330001,2001-05-01,2.0,9.19
9127001,2001-05-01,31.0,4.58
4703002,2001-05-02,1.0,4.17
7330001,2001-05-02,0.0,9.09
9127001,2001-05-02,7.0,4.67
4703002,2001-05-03,0.0,4.19
7330001,2001-05-03,6.0,8.99
9127001,2001-05-03,3.0,4.48
4703002,2001-05-04,1.0,4.16
7330001,2001-05-04,0.0,8.98
9127001,2001-05-04,0.0,4.39
4703002,2001-05-05,1.0,4.17
7330001,2001-05-05,5.0,9.15
9127001,2001-05-05,0.0,4.37
4703002,2001-05-06,35.0,4.21
7330001,2001-05-06,0.0,9.25
9127001,2001-05-06,1.0,4.22
4703002,2001-05-07,6.0,4.17
7330001,2001-05-07,16.0,10.0
9127001,2001-05-07,14.0,4.25
4703002,2001-05-08,1.0,4.07
7330001,2001-05-08,28.0,10.6
9127001,2001-05-08,50.0,4.39
4703002,2001-05-09,6.0,4.16
7330001,2001-05-09,2.0,10.4
9127001,2001-05-09,24.0,5.25
4703002,2001-05-10,75.0,3.92
7330001,2001-05-10,0.0,9.91
9127001,2001-05-10,0.0,4.84
4703002,2001-05-11,1.0,3.89
7330001,2001-05-11,0.0,9.67
9127001,2001-05-11,0.0,4.57
4703002,2001-05-12,0.0,3.98
7330001,2001-05-12,0.0,9.41
9127001,2001-05-12,0.0,4.46
4703002,2001-05-13,0.0,4.12
7330001,2001-05-13,0.0,9.37
9127001,2001-05-13,0.0,4.44
4703002,2001-05-14,8.0,4.12
7330001,2001-05-14,1.0,9.31
9127001,2001-05-14,8.0,4.44
4703002,2001-05-15,0.0,4.35
7330001,2001-05-15,108.0,10.1
9127001,2001-05-15,32.0,4.39
4703002,2001-05-16,27.0,4.23
7330001,2001-05-16,69.0,13.8
9127001,2001-05-16,17.0,4.44
4703002,2001-05-17,24.0,4.53
7330001,2001-05-17,7.0,24.8
9127001,2001-05-17,104.0,5.35
4703002,2001-05-18,32.0,4.38
7330001,2001-05-18,292.0,57.6
9127001,2001-05-18,43.0,6.93
4703002,2001-05-19,12.0,4.28
7330001,2001-05-19,8.0,30.7
9127001,2001-05-19,39.0,7.54
4703002,2001-05-20,1.0,4.48
7330001,2001-05-20,31.0,23.0
9127001,2001-05-20,69.0,10.1
4703002,2001-05-21,11.0,4.38
7330001,2001-05-21,120.0,66.0
9127001,2001-05-21,153.0,29.5
4703002,2001-05-22,42.0,4.16
7330001,2001-05-22,558.0,245.0
9127001,2001-05-22,265.0,82.4
4703002,2001-05-23,2.0,4.23
7330001,2001-05-23,73.0,104.0
9127001,2001-05-23,0.0,47.8
4703002,2001-05-24,2.0,4.22
7330001,2001-05-24,2.0,61.4
9127001,2001-05-24,6.0,32.7
4703002,2001-05-25,0.0,4.2
7330001,2001-05-25,12.0,73.4
9127001,2001-05-25,376.0,29.1
4703002,2001-05-26,2.0,4.21
